Username,Date,Rating,Review
Placeholder,9 October 2024,4.0,It doesn't connect 5g network while other device easily get connected with 5g on same place. Camera good not best battery backup best Bluetooth connectivity low. Charging speed not better than realme 11 5g. Overall rating may be given 3.8/5
Dara Singh Palsaniya,20 October 2024,4.0,Processor is old.
MD Jalaluddin,12 October 2024,4.0,Phone not good camera battery phone good user value for money in your bagget
Harbhajan,29 September 2024,4.0,Display is good .phone is slow due to old processor and does not loks like 18000 smartphone due to slowness.charging speed  is good and camera is average. I think g85 will be good option than this .
Ankush Singh,23 October 2024,4.0,Best quality
Hanumantha Rao,14 October 2024,4.0,"Value for money, nice camera, but little bit weight is there. Overall it's good"
P kumar,11 October 2024,4.0,Good phone overall in this price range
Md Mudassir Ali,26 October 2024,4.0,Good Product
Placeholder,9 October 2024,4.0,Nice product
Daulat R.,10 October 2024,4.0,So smooth to use
Chandan kumar,12 October 2024,4.0,I bought in 16k in this range best phone
Kudnar Subhash,3 October 2024,4.0,Battery back up longer and sufficientSo fast charging within 20 minNo hangingCamera good
Ravindra Bhandari,7 October 2024,4.0,"Processing is a bit slow compared to last phone, Apart from this,it is best mobile of this range."
Sekar M,14 October 2024,4.0,Really good one
AVIK GUPTA,7 October 2024,4.0,Not as smooth as previous OnePlus Nord series
Deepak Kumar Rout,10 October 2024,4.0,Chinese iphone
Roshan C.,7 October 2024,4.0,Motorola is best then OnePlus
jagmeet,1 October 2024,4.0,"Display good fingerprint sensor is ok, but no memory card slot with 2 sim"
Vishal,30 September 2024,4.0,As per description it will provide reverse charging cable but received only one way charging cable no c to c type cable
Ankit Tiwari,6 October 2024,4.0,Awesome product 😀
Narendra,29 September 2024,4.0,"Full Paisa wasool product, being operated very smooth, functionality wise very Good 💯 suppe performance."
Samaresh Majhi,6 October 2024,4.0,Okay for daily usage not for gaming
vinay rana,2 October 2024,4.0,Bright AMOLED screenDecent primary cameraFeatures an IP54 ratingSupport for fast charging
Satyawan G.,1 October 2024,4.0,Good product no heating if use long duration.
Ankit yadav,4 October 2024,4.0,Camera not good
Akshay,28 September 2024,4.0,Charging is very fast… look is amazing … using from last 6 months … working amazing
Harsh Pandey,20 September 2024,4.0,Nice phone
Bhaskar,25 September 2024,4.0,Considering the price it has good built and camera and fast charging. I haven't used it extensively but I found the touch sensor does not work very smoothly.
Abhishek Gupta,1 October 2024,4.0,Love this phone
patelsujal,30 September 2024,4.0,"Good looking, display quality"
Joy,3 October 2024,4.0,Nice one
Shantanu Jha,10 October 2024,4.0,Product is good at every angle.
LSW,28 August 2024,4.0,All the reviews I read there was just one that mentioned it was not dual SIM. Phone arrived today and happy to report that I have placed both my SIMS Vodafone and Jio and it works fine. For the rest of the performance will wait a few days. But felt this was important to know as I nearly didn't buy it thinking it only had a single SIM slot.
Rupesh Nale,28 September 2024,4.0,Nice
Vivek,26 September 2024,4.0,better but not best
amit nain,31 October 2024,3.0,Battery get drained fast ..I don't like though one plus is brand but batter dint even work for full day .I don't even use many apps or I don't watch video still
Rajesh,25 September 2024,4.0,Worth for the price
